year,rank,title,artist,modified_title,modified_artist
1987,58,"""La Isla Bonita""",Madonna,La Isla Bonita,Madonna
1987,59,"""Bad""",Michael Jackson,Bad,Michael Jackson
1987,60,"""Sign o' the Times""",Prince,Sign o' the Times,Prince
1987,61,"""Change of Heart""",Cyndi Lauper,Change of Heart,Cyndi Lauper
1987,62,"""Come Go with Me""",Exposé,Come Go with Me,Exposé
1987,63,"""Can't We Try""",Dan Hill featuring Vonda Shepard,Can't We Try,Dan Hill
1987,64,"""To Be a Lover""",Billy Idol,To Be a Lover,Billy Idol
1987,65,"""Mandolin Rain""",Bruce Hornsby and the Range,Mandolin Rain,Bruce Hornsby
1987,66,"""Breakout""",Swing Out Sister,Breakout,Swing Out Sister
1987,67,"""Stand by Me""",Ben E. King,Stand by Me,Ben E. King
1987,68,"""Tonight, Tonight, Tonight""",Genesis,"Tonight, Tonight, Tonight",Genesis
1987,69,"""Someday""",Glass Tiger,Someday,Glass Tiger
1987,70,"""When Smokey Sings""",ABC,When Smokey Sings,ABC
1987,71,"""Casanova""",LeVert,Casanova,LeVert
1987,72,"""Rhythm Is Gonna Get You""",Gloria Estefan and Miami Sound Machine,Rhythm Is Gonna Get You,Gloria Estefan
1987,73,"""Rock Steady""",The Whispers,Rock Steady,The Whispers
1987,74,"""Wanted Dead or Alive""",Bon Jovi,Wanted Dead or Alive,Bon Jovi
1987,75,"""Big Time""",Peter Gabriel,Big Time,Peter Gabriel
1987,76,"""The Finer Things""",Steve Winwood,The Finer Things,Steve Winwood
1987,77,"""Let Me Be the One""",Exposé,Let Me Be the One,Exposé
1987,78,"""Is This Love""",Survivor,Is This Love,Survivor
1987,79,"""Diamonds""",Herb Alpert,Diamonds,Herb Alpert
1987,80,"""Point of No Return""",Exposé,Point of No Return,Exposé
1987,81,"""Big Love""",Fleetwood Mac,Big Love,Fleetwood Mac
1987,82,"""Midnight Blue""",Lou Gramm,Midnight Blue,Lou Gramm
1987,83,"""Something So Strong""",Crowded House,Something So Strong,Crowded House
1987,84,"""Heat of the Night""",Bryan Adams,Heat of the Night,Bryan Adams
1987,85,"""Nothing's Gonna Change My Love for You""",Glenn Medeiros,Nothing's Gonna Change My Love for You,Glenn Medeiros
1987,86,"""Brilliant Disguise""",Bruce Springsteen,Brilliant Disguise,Bruce Springsteen
1987,87,"""Just to See Her""",Smokey Robinson,Just to See Her,Smokey Robinson
1987,88,"""Who Will You Run To""",Heart,Who Will You Run To,Heart
1987,89,"""Respect Yourself""",Bruce Willis,Respect Yourself,Bruce Willis
1987,90,"""Cross My Broken Heart""",The Jets,Cross My Broken Heart,The Jets
